MutationRate,CrossoverRate,PopulationSize,NumGenerations,ElitismRate,MeanBestFitness,StdDevBestFitness,MeanGlobalFitness,StdDevGlobalFitness
5,100,500,300,25,4.44089e-16,0,0.0174632,0.00406329
5,100,500,300,50,4.44089e-16,0,0.0226027,0.00749983
10,60,50,50,5,0.022104,0.0472261,0.596902,0.204834
10,60,50,50,25,0.00889352,0.0223322,0.461865,0.145653
10,60,50,50,50,0.00383016,0.00441261,0.458825,0.161626
10,60,50,100,5,0.00033269,0.000421987,0.362606,0.16558
10,60,50,100,25,0.00189275,0.00284342,0.224955,0.0830669
10,60,50,100,50,0.0034049,0.00491232,0.216751,0.0898438
10,60,50,300,5,3.41277e-05,0.000102356,0.12638,0.0433609
10,60,50,300,25,0.00100354,0.00158251,0.0709761,0.0347306
10,60,50,300,50,0.000288583,0.000423315,0.0666155,0.0278662
10,60,100,50,5,0.0011177,0.00133249,0.421954,0.131941
10,60,100,50,25,0.000655983,0.00090307,0.34034,0.084293
10,60,100,50,50,0.000547625,0.00034294,0.331008,0.0803366
10,60,100,100,5,1.16219e-06,2.43943e-06,0.217858,0.0994794
10,60,100,100,25,0.000173925,0.000334994,0.15974,0.0478552
10,60,100,100,50,7.28781e-06,1.6237e-05,0.191786,0.0560705
10,60,100,300,5,7.44628e-11,2.36606e-11,0.0791643,0.0276695
10,60,100,300,25,7.00665e-06,2.10199e-05,0.0525413,0.0179675
10,60,100,300,50,7.99361e-16,1.06581e-15,0.0610881,0.0101667
10,60,500,50,5,2.25866e-05,2.70212e-05,0.218983,0.0633833
10,60,500,50,25,1.75595e-05,1.38406e-05,0.154273,0.0388219
10,60,500,50,50,0.000222365,0.000114076,0.180261,0.0431649
10,60,500,100,5,5.74834e-10,5.82119e-10,0.112813,0.0423351
10,60,500,100,25,8.64156e-10,7.19661e-10,0.0816514,0.0222904
10,60,500,100,50,5.14116e-08,4.37683e-08,0.0772817,0.0190749
10,60,500,300,5,2.15114e-11,1.00207e-11,0.031088,0.01166
10,60,500,300,25,1.5099e-15,2.27485e-15,0.0284198,0.00537197
10,60,500,300,50,4.44089e-16,0,0.02933,0.00933838
10,80,50,50,5,0.0366326,0.072841,0.606161,0.191197
10,80,50,50,25,0.00226103,0.00281661,0.432579,0.0958454
10,80,50,50,50,0.00352108,0.00475072,0.421088,0.132275
10,80,50,100,5,0.000127418,0.000194411,0.287186,0.0981243
10,80,50,100,25,6.46875e-05,0.000136604,0.169981,0.0590653
10,80,50,100,50,0.00261613,0.00725848,0.177913,0.0737191
10,80,50,300,5,4.43455e-07,1.31024e-06,0.126411,0.0688037
10,80,50,300,25,0.000756206,0.00221053,0.0707513,0.0186127
10,80,50,300,50,0.000343144,0.000721825,0.0708145,0.0240798
10,80,100,50,5,0.000240405,0.000350353,0.303818,0.125525
10,80,100,50,25,9.18399e-05,7.52254e-05,0.283048,0.0837455
10,80,100,50,50,0.000401698,0.000188655,0.289821,0.100451
10,80,100,100,5,4.40999e-08,5.26729e-08,0.185817,0.0900794
10,80,100,100,25,3.09619e-06,9.26959e-06,0.126972,0.0198454
10,80,100,100,50,5.8936e-06,1.68072e-05,0.132312,0.0362606
10,80,100,300,5,2.90222e-11,7.64255e-12,0.062377,0.0210744
10,80,100,300,25,4.44089e-16,0,0.0475386,0.0102989
10,80,100,300,50,1.15463e-15,2.13163e-15,0.046501,0.0107353
10,80,500,50,5,8.04595e-06,1.69438e-05,0.148104,0.03665
10,80,500,50,25,6.42322e-06,7.91106e-06,0.115162,0.0310761
10,80,500,50,50,9.19551e-05,4.27123e-05,0.116391,0.0378987
10,80,500,100,5,2.60055e-10,2.65917e-10,0.0850442,0.0286875
10,80,500,100,25,2.96075e-10,2.58261e-10,0.06777,0.0205543
10,80,500,100,50,1.3433e-08,5.88836e-09,0.0793618,0.0204483
10,80,500,300,5,1.589e-11,9.72676e-12,0.026842,0.00938099
10,80,500,300,25,4.44089e-16,0,0.0221027,0.00541561
10,80,500,300,50,4.44089e-16,0,0.0261977,0.00759602
10,100,50,50,5,0.0411755,0.0845971,0.464804,0.216433
10,100,50,50,25,0.000323548,0.000479306,0.314525,0.0516457
10,100,50,50,50,0.000530515,0.000492624,0.332983,0.0872136
10,100,50,100,5,0.000204595,0.000548661,0.254763,0.0922959
10,100,50,100,25,0.000208355,0.00040508,0.154456,0.0502728
10,100,50,100,50,0.000876958,0.00236415,0.185807,0.0583892
10,100,50,300,5,6.77994e-09,1.36076e-08,0.0751281,0.0389591
10,100,50,300,25,5.16089e-06,1.52768e-05,0.0476171,0.0169617
10,100,50,300,50,0.000628921,0.00177873,0.0560296,0.0145947
10,100,100,50,5,0.000356359,0.000659655,0.242142,0.0478705
10,100,100,50,25,3.86905e-05,4.77195e-05,0.243527,0.0771512
10,100,100,50,50,0.000157987,0.000145936,0.284506,0.0811607
10,100,100,100,5,9.26594e-10,6.94511e-10,0.127469,0.0248479
10,100,100,100,25,2.24661e-08,6.52801e-08,0.128657,0.0286144
10,100,100,100,50,6.72709e-08,7.86033e-08,0.124235,0.049416
10,100,100,300,5,2.96909e-12,1.89583e-12,0.0568253,0.0163505
10,100,100,300,25,4.44089e-16,0,0.0404482,0.0140835
10,100,100,300,50,4.44089e-16,0,0.051387,0.018474
10,100,500,50,5,1.61006e-06,1.42107e-06,0.14733,0.0428206
10,100,500,50,25,7.3882e-06,4.19252e-06,0.123776,0.0274846
10,100,500,50,50,3.78817e-05,2.32586e-05,0.147312,0.0380588
10,100,500,100,5,8.69492e-11,4.09789e-11,0.0720361,0.0205631
10,100,500,100,25,9.33707e-11,4.32989e-11,0.0615504,0.0147577
10,100,500,100,50,4.67337e-09,1.58584e-09,0.069148,0.0227332
10,100,500,300,5,5.41522e-13,4.52527e-13,0.0243482,0.00947978
10,100,500,300,25,4.44089e-16,0,0.0211335,0.0064771
10,100,500,300,50,4.44089e-16,0,0.022772,0.00712231
