Run,Generation,Ind0,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7,Ind8,Ind9,Ind10,Ind11,Ind12,Ind13,Ind14,Ind15,Ind16,Ind17,Ind18,Ind19,Ind20,Ind21,Ind22,Ind23,Ind24,Ind25,Ind26,Ind27,Ind28,Ind29,Ind30,Ind31,Ind32,Ind33,Ind34,Ind35,Ind36,Ind37,Ind38,Ind39,Ind40,Ind41,Ind42,Ind43,Ind44,Ind45,Ind46,Ind47,Ind48,Ind49
8,12,13073076,13073076,12670864,12670864,12628041,12564321,12564321,12495833,12352473,12352473,12281195,11923140,11450476,11407407,11245840,10967727,10880824,10858475,10813889,10762311,10762311,10738294,10681267,10570473,10205474,10055128,9816975,9695450,9620478,9620478,9445151,9396245,9396245,9083728,8901744,8774061,8774061,8282871,8260678,7596309,7596309,7477604,5408930,5136932,-1616484900100,-2388580523169,-5270572849408,-8813197412048,-10067164404192,-22018185160144
8,13,13073076,13073076,12670864,12670864,12495833,12475092,12352473,12352473,12281195,12055561,11871782,11864103,11407407,11245840,11245840,10980174,10926262,10858475,10681267,10681267,10681267,10205474,10195154,10178188,10055128,9667190,9664945,9481742,9445151,9396245,9396245,9083728,8260678,7825812,7596309,7596309,7596309,7477604,6758901,6306293,5919681,5408930,4395711,4395711,-537581163008,-1616484900100,-1927820564262,-3393146812614,-5270572849408,-10520913999456
8,14,13149664,13073076,13073076,12780500,12670864,12670864,12670864,12670864,12670864,12475092,12450232,12409914,11988433,11864103,11775877,11656242,11407407,11245840,11221770,10980174,10980174,10681267,10566016,10551180,10310944,10195154,10104576,10055128,9664945,9396245,9157297,9083728,8447724,8260678,8260678,8213694,7596309,7596309,7162342,6652718,6172830,4395711,4395711,-537581163008,-1927286181654,-2095116137562,-3098693618592,-5270572849408,-9388941052921,-10387307868416
8,15,13149664,13149664,13073076,12947276,12780500,12670864,12670864,12670864,12670864,12670864,12569285,12412047,12409914,12409914,12247482,11656482,11472655,11407407,11221770,11128860,10980174,10902253,10723962,10681267,10681267,10681267,10502252,10395457,10308199,10295364,10195154,10195154,9859847,9658439,9396245,9204650,8447724,8447724,8260678,8213694,8030173,7601178,7596309,7596309,6652718,6172830,5874203,-1079950551288,-1460766904597,-5270572849408
8,16,13149664,13149664,12780500,12780500,12780500,12670864,12670864,12670864,12409914,12409914,11902804,11656482,11255400,11086373,10980174,10902253,10902253,10723962,10663442,10350720,10295364,10195154,10195154,10178270,10127417,10069821,9556955,9458926,9451366,9400761,8447724,8260678,8260678,8213694,8057131,7704252,7601178,7601178,7596309,7596309,7596309,7398173,5874203,5827124,-225404194441,-514212619660,-1079950551288,-1460766904597,-2475726611856,-14135947088055
8,17,13149664,13149664,13149664,12780500,12670864,11954906,11945993,11911727,11902804,11255400,10962935,10902253,10723962,10663682,10663442,10663442,10499365,10416754,10350720,10295364,10195154,10178270,10127417,9458926,9400761,9400761,9400761,9364980,9250944,8775714,8756588,8447724,8260678,7786452,7601178,7596309,7596309,6770715,6652718,5874203,5874203,-225404194441,-225404194441,-514212619660,-1460766904597,-1460766904597,-2133868971699,-3613668335445,-8185454598750,-14225898336664
8,18,13149664,13149664,12671562,12670864,12670864,11954906,11945993,11945993,11902804,11800561,11679579,10902253,10663442,10604264,10499365,10416754,10416754,10361335,10350720,10350720,10195154,10178270,10127417,9875165,9458926,9400761,9400761,9400761,9293087,8923803,8792317,8780202,8775714,8775714,8447724,8447724,7601178,6216715,5925991,5874203,5439211,-225404194441,-225404194441,-225404194441,-287984805570,-751864327094,-2133868971699,-2245740299712,-6669792520220,-8810840287637
8,19,13149664,13149664,13149664,12671802,12670864,11945993,11902804,11794208,11679579,11679579,11527665,11459951,11120399,10902253,10538293,10510232,10361335,10361335,10350720,10178270,10046073,9885185,9867746,9834734,9753786,9663847,9293087,9293087,9134142,8923803,8830290,8780202,8775714,8644678,8447724,8447724,8447724,8400031,8061707,7950120,6458219,6216715,-225404194441,-287984805570,-287984805570,-1822617530580,-2245740299712,-3288016861568,-3403560016034,-5719866122545
8,20,13149664,13149664,13149664,12670864,12552987,11945993,11794208,11777724,11753908,11679579,11459951,11158767,11120399,10902253,10892501,10510232,10510232,10361335,10361335,10248547,10178270,10076899,9949216,9933169,9867746,9834734,9802015,9753786,9658817,9644434,9569392,9134142,9134142,8893581,8780202,8780202,8775714,8775714,8447724,8400031,8400031,8061707,8061707,8015280,6250237,-1822617530580,-1822617530580,-2245740299712,-2949656321880,-7103943716814
9,0,12912643,12628143,12552788,12359972,11974506,11657911,11213501,11021380,10998789,10454078,9932796,9812030,9747755,9496870,9495809,8700735,8576195,8403390,8128453,7959242,7487103,6292774,-790984975400,-806621412051,-1291266624816,-1641302063366,-1923068199548,-5091820801398,-6348563745111,-7329446790010,-8949991149880,-9373177608700,-9516675684920,-11107083681594,-15536713860385,-19613893839813,-19662288079021,-21493743744000,-21533192490212,-26688008603256,-27804574160536,-28183900014585,-28900148103648,-29550143205021,-30673733163612,-31312096213896,-38941225373798,-42429653057430,-58915079498990,-62413872779060
9,1,13090340,12912643,12628143,12552788,12363502,11974506,11657911,11657911,10998789,10998789,10811603,10454078,10454078,10106708,10045964,9932796,9586028,9496870,9495809,9416964,8636755,8576195,8128453,7487103,7390107,6292774,6292774,-407458571444,-2546647326620,-3886369422870,-6348563745111,-7818515686597,-8949991149880,-9532749195411,-11029707458458,-11107083681594,-11834834230030,-13762620558524,-14995991947320,-15840012652303,-16797446587306,-19613893839813,-21533192490212,-21533192490212,-26688008603256,-26688008603256,-26955219473022,-28335250448562,-28900148103648,-42429653057430
9,2,13090340,13090340,13013029,12912643,12762583,11974506,11730447,11667724,11657911,11657911,11657911,10998789,10989936,10969365,10837278,10811603,10584320,10481288,10454078,10213644,10130876,9909736,9496870,9447321,9416964,9236800,9047703,8576195,8128453,8128453,7342273,6292774,-407458571444,-3215116155732,-6348563745111,-7323858818982,-7818515686597,-7818515686597,-9532749195411,-10352362335336,-11029707458458,-15588484213408,-15893375968098,-17253289886384,-19613893839813,-21533192490212,-21533192490212,-26688008603256,-26688008603256,-30396538016392
